system:index,Subbasin,aet,date,pdsi,pet,pr,ro,soil,swe,tmmn,tmmx,.geo
198309_0000daa2e88e222a53c3,9,603.7122722206062,1.9830901E7,125.0947612604336,603.8074205518152,119.7773989756684,59.474778109918915,1378.6972120846517,0.0,72.5477295094737,170.56939414749985,
198309_00008c159663543e8645,8,597.5313824266236,1.9830901E7,83.12650053095918,598.514391357249,114.90644420981091,55.18174359605377,1215.0322473477083,0.0,57.27088668343822,159.53539996572567,
198309_0000de5013cc29300392,6,630.2695391012732,1.9830901E7,124.13397311017276,631.9241547663282,120.49876024829064,53.37807038989859,1084.8954516262727,0.0,38.6270264599322,153.1542193489251,
198309_0000168c334242d20765,5,608.5473759344083,1.9830901E7,142.41290386717517,609.6565381486549,128.9846424091868,67.25014172808213,1246.9940024483785,0.0,32.11235211388655,144.7998851026821,
198309_0000cb0aabacd678f3cf,2,650.9743609206162,1.9830901E7,123.83615462313566,652.0414805544344,135.24160442142798,62.84883148270683,1035.1695429972733,0.0,15.816940319719603,138.75394802235283,
198309_0000181e9ee1021c33fd,1,623.4300058326485,1.9830901E7,101.44194717463922,628.1015953709581,139.03224626508472,71.11119785991129,1164.414847644465,0.24167684846864645,10.767802206603577,127.18462826722252,
198309_0000cafaf5ad395dbed2,3,638.6780464213276,1.9830901E7,128.04311596716755,642.3522104773954,134.26941422106154,63.05580750784505,950.9232817523072,0.0,9.895179648885597,134.44529303142468,
198309_0000f539b753c50b4245,4,610.8878080404071,1.9830901E7,137.49286388469815,617.4709687779541,127.78977509046243,60.699075206092196,988.1975137623986,0.04255353805386252,6.096234382822201,128.52224103443194,
198309_000093627540d08c2e25,7,551.2714516228244,1.9830901E7,75.14196075140438,556.3244861520234,118.98874085468378,63.10998460272264,1100.8613125041657,0.01871469194106857,21.66787577184979,131.2969990449858,
198309_0000976156db9c725e35,10,561.1513312218743,1.9830901E7,31.65003096678745,567.8211612566096,113.57360470275604,55.337055771342605,1125.6792458310283,0.38324479712035264,16.108310728586844,125.02537833947184,
198310_000071ae51516e393968,11,236.25101223292938,1.9831001E7,-172.55787087606333,253.48069860634328,47.53663030347467,10.618461728637294,1209.2519868487364,14.516622812852919,-13.113934780487439,84.56068970787523,
198310_0000266fb817570ef2ea,14,447.27878328774716,1.9831001E7,-157.2749685203236,453.69903933942163,51.21112085080609,7.457831226361562,1130.6224158783727,0.056501975901067376,69.67407016535033,148.8641937383623,
198310_0000444f8f5d5affa846,13,452.3016781941451,1.9831001E7,-97.50966047383918,461.2358816777622,55.63510061707183,11.819170596019257,1133.599357592651,0.07270951341468958,84.31308631616398,161.3810466907608,
198310_0000d4da10d8dcbac1b0,12,376.5352219713424,1.9831001E7,-81.15199313493899,382.7608876239528,53.833866661383965,14.050749067659604,1209.4574749576186,2.146367342630116,35.66488226552615,128.21743321493085,
198310_0000daa2e88e222a53c3,9,381.94288353296184,1.9831001E7,103.16504749419042,387.5068418494178,62.62992615123175,23.667114167728503,1378.5069428905454,0.7883461756143836,29.811270848501614,126.49496727699955,
198310_00008c159663543e8645,8,333.98147376067004,1.9831001E7,27.937246312798102,346.5827183945315,56.18114958219444,18.43758583277691,1214.0031757583447,4.431938548040226,11.709153446194284,116.71255782253388,
198310_0000de5013cc29300392,6,313.0183091825591,1.9831001E7,114.89664169025592,329.1764323969301,61.8745138479115,21.83798811795728,1084.8954516262727,8.710849134920144,-9.064064610702582,109.18877640056911,
198310_0000168c334242d20765,5,324.2916390162337,1.9831001E7,149.2949679666656,344.28517516370636,71.65341248294868,33.807923707002786,1246.9940024483785,5.422880345941706,-12.708375227582843,101.83820572510967,
198310_0000cb0aabacd678f3cf,2,272.3111308419352,1.9831001E7,178.73490885067937,304.0094596479103,81.125314095743,48.462578188225876,1035.1695429972735,5.4108252946452255,-30.365258196485797,92.03096879408237,
198310_0000181e9ee1021c33fd,1,200.0749389285989,1.9831001E7,165.8125028705841,234.90438818593609,84.57676824856931,43.35866743052325,1164.4148476444648,21.43421006029523,-36.518338452156215,76.21335756260761,
198310_0000cafaf5ad395dbed2,3,213.4798443630758,1.9831001E7,176.01989536966835,247.48671091689658,77.33779065782629,36.57630547531125,950.9232817523073,19.389999264143768,-38.924928242203045,87.62768565049394,
198310_0000f539b753c50b4245,4,190.2265959174298,1.9831001E7,144.32075846168843,214.60648267266723,65.42386333145197,18.192147145456765,988.1975137623986,28.226553238344863,-48.73864206960576,81.50642992914922,
198310_000093627540d08c2e25,7,177.38672496421577,1.9831001E7,-3.886891239602369,199.83594644370936,54.972802642590416,16.15067787263644,1100.7581609847182,21.0988234166258,-33.50738606265993,83.96728879054035,
198310_0000976156db9c725e35,10,159.43321925831017,1.9831001E7,-85.34556585192477,182.9043021859084,47.446591940265435,10.438798380450296,1124.9965117428849,21.51701142753042,-45.394502723266534,75.09277471965433,
198311_000071ae51516e393968,11,72.16323164439416,1.9831101E7,-197.38327798969314,103.37854748453225,9.28598103437849,0.5396095230497334,1175.7609721341043,19.38612717574066,-72.50721245047244,46.58854351729336,
198311_0000266fb817570ef2ea,14,219.24365345091405,1.9831101E7,-186.4976953440815,284.67162175373477,13.40020365734494,1.0254194571948199,1033.7091849086376,0.4692288258088792,17.964054974087027,110.45378950523299,
198311_0000444f8f5d5affa846,13,233.71851970267556,1.9831101E7,-156.99100239140898,310.535802577336,12.118151762344162,0.8921379912567355,1010.9050453373393,0.35972613299484835,29.58073462875506,125.12271976595034,
198311_0000d4da10d8dcbac1b0,12,154.49083787908188,1.9831101E7,-143.09816047050438,216.49324346357648,9.142176113226194,0.4510268080112635,1123.1376569585295,3.9981265224012446,-20.65600180170079,93.96545246792886,
198311_0000daa2e88e222a53c3,9,151.34590042415707,1.9831101E7,-12.01798933561802,227.30784041553028,7.034356160303544,0.16894026111208346,1279.3616704258086,2.19447619851746,-30.723614097937837,96.0268863430129,
198311_00008c159663543e8645,8,109.43583050018685,1.9831101E7,-57.62827196603481,161.74086191396034,7.1771377628954545,0.19618087336550113,1147.5977252895045,6.979808676606205,-49.22142534329312,82.80604447772637,
198311_0000de5013cc29300392,6,75.96725296704412,1.9831101E7,19.61417782243841,122.5283865859562,5.558621418668174,0.13128355973129996,1033.5628992942093,11.552452594246603,-76.22301179909154,72.53324567998592,
198311_0000168c334242d20765,5,59.46903773969767,1.9831101E7,49.862872186780315,109.88451395183965,5.162761613102797,0.16131240467083569,1207.567344566451,8.374732142077539,-77.67122152512137,71.10143691077909,
198311_0000cb0aabacd678f3cf,2,10.063446761720742,1.9831101E7,103.97318923134293,29.114726698873486,3.6824115055511544,8.03767825355881E-4,1030.3086192563355,8.522060674241155,-101.05866050939882,58.99545217739602,
198311_0000181e9ee1021c33fd,1,5.316615627752558,1.9831101E7,78.16866185589086,17.29900011987021,3.4166615551104096,0.0,1162.079715700316,24.470242948336864,-111.50347646546918,42.96768663267414,
198311_0000cafaf5ad395dbed2,3,21.698626502718774,1.9831101E7,108.49936966939401,41.19843938222138,4.085771102162474,0.025509195582219358,935.881036195272,22.75540789968615,-112.86723429575086,47.778896516292555,
198311_0000f539b753c50b4245,4,18.824610119901752,1.9831101E7,73.13866610145452,35.53862803327696,5.179632306447923,0.08812565424296509,976.7033843057859,32.626477910151294,-122.04276054336279,36.870933403649644,
198311_000093627540d08c2e25,7,41.649573882828314,1.9831101E7,-84.57000690765928,67.40072995505739,6.8994919129328,0.17369489437473176,1077.2254601903853,25.89036372689881,-100.37960009445587,43.59610281454186,
198311_0000976156db9c725e35,10,22.135695317669995,1.9831101E7,-139.9571618940104,37.63489741992232,7.1534528173406375,0.1040996552332675,1114.478588773664,27.342242237413362,-114.00866638968716,28.48776630234126,
198312_000071ae51516e393968,11,14.27429410432379,1.9831201E7,-160.26296177263825,26.192534044574575,8.618875968214184,0.06386929836529566,1176.5752374226217,26.416703590590583,-122.98013395321047,8.026897839335565,
198312_0000266fb817570ef2ea,14,107.37033256769134,1.9831201E7,-138.66456536071695,151.64801265031764,15.09313887341685,0.5619445753086937,1022.792962205532,5.490553344511723,-32.71640099962386,61.47271433373436,
